rowId,id,category,symbolPath,symbol,type,source,relevance,relevanceToCrabSync,readStatus,naturalObservationStatus,argumentMetadataStatus,ownershipAuthorityStatus,visibilityDirection,lifecycleCoverage,persistenceUiCoverage,writeApplyStatus,safetyClassification,terminalDisposition,coverageDisposition,nextRequiredObservation,checklistLinks,checklistLinkage,coverageCapabilities
game-blueprint-other-bp-infiniteshoppedestal-bp-infiniteshoppedestal-c-bp-infiniteshoppedestal-c-actor,game-blueprint-other-bp-infiniteshoppedestal-bp-infiniteshoppedestal-c-bp-infiniteshoppedestal-c-actor,crystals-economy,/Game/Blueprint/Other/BP_InfiniteShopPedestal.BP_InfiniteShopPedestal_C,BP_InfiniteShopPedestal_C,actor,object dump,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,untested,not observed naturally,object-dump property type: BlueprintGeneratedClass,unknown; requires host and joined-client natural observation,unknown,untested,not yet assessed,no official apply behavior identified,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-crystals-economy; resource-crystal-gain; world-shop,coverage-crystals-economy; resource-crystal-gain; world-shop,crystals
game-blueprint-other-bp-shoppedestal-bp-shoppedestal-c-bp-shoppedestal-c-actor,game-blueprint-other-bp-shoppedestal-bp-shoppedestal-c-bp-shoppedestal-c-actor,crystals-economy,/Game/Blueprint/Other/BP_ShopPedestal.BP_ShopPedestal_C,BP_ShopPedestal_C,actor,object dump,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,untested,not observed naturally,object-dump property type: BlueprintGeneratedClass,unknown; requires host and joined-client natural observation,unknown,untested,not yet assessed,no official apply behavior identified,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-crystals-economy; resource-crystal-gain; world-shop,coverage-crystals-economy; resource-crystal-gain; world-shop,crystals
game-blueprint-pickup-overlap-crystal-bp-pickup-crystal-bp-pickup-crystal-c-bp-pickup-crystal-c-actor,game-blueprint-pickup-overlap-crystal-bp-pickup-crystal-bp-pickup-crystal-c-bp-pickup-crystal-c-actor,crystals-economy,/Game/Blueprint/Pickup/Overlap/Crystal/BP_Pickup_Crystal.BP_Pickup_Crystal_C,BP_Pickup_Crystal_C,actor,object dump,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,untested,not observed naturally,object-dump property type: BlueprintGeneratedClass,unknown; requires host and joined-client natural observation,unknown,untested,not yet assessed,no official apply behavior identified,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-crystals-economy; resource-crystal-gain,coverage-crystals-economy; resource-crystal-gain,crystals
game-blueprint-portal-bp-portal-shop-bp-portal-shop-c-bp-portal-shop-c-actor,game-blueprint-portal-bp-portal-shop-bp-portal-shop-c-bp-portal-shop-c-actor,crystals-economy,/Game/Blueprint/Portal/BP_Portal_Shop.BP_Portal_Shop_C,BP_Portal_Shop_C,actor,object dump,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,untested,not observed naturally,object-dump property type: BlueprintGeneratedClass,unknown; requires host and joined-client natural observation,unknown,untested,not yet assessed,no official apply behavior identified,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-crystals-economy; resource-crystal-gain; world-portal; world-shop,coverage-crystals-economy; resource-crystal-gain; world-portal; world-shop,crystals; lifecycle
game-blueprint-spawnpoint-bp-spawnpoint-reward-bp-spawnpoint-reward-c-bp-spawnpoint-reward-c-actor,game-blueprint-spawnpoint-bp-spawnpoint-reward-bp-spawnpoint-reward-c-bp-spawnpoint-reward-c-actor,crystals-economy,/Game/Blueprint/SpawnPoint/BP_SpawnPoint_Reward.BP_SpawnPoint_Reward_C,BP_SpawnPoint_Reward_C,actor,object dump,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,untested,not observed naturally,object-dump property type: BlueprintGeneratedClass,unknown; requires host and joined-client natural observation,unknown,untested,not yet assessed,no official apply behavior identified,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-crystals-economy; resource-crystal-gain; world-reward-selection,coverage-crystals-economy; resource-crystal-gain; world-reward-selection,crystals
game-blueprint-totem-bp-totem-crystal-bp-totem-crystal-c-bp-totem-crystal-c-actor,game-blueprint-totem-bp-totem-crystal-bp-totem-crystal-c-bp-totem-crystal-c-actor,crystals-economy,/Game/Blueprint/Totem/BP_Totem_Crystal.BP_Totem_Crystal_C,BP_Totem_Crystal_C,actor,object dump,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,untested,not observed naturally,object-dump property type: BlueprintGeneratedClass,unknown; requires host and joined-client natural observation,unknown,untested,not yet assessed,no official apply behavior identified,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-crystals-economy; resource-crystal-gain,coverage-crystals-economy; resource-crystal-gain,crystals
game-ui-mode-survival-ui-playerstate-ui-playerstate-c-onupdatedcrystalsanim-property,game-ui-mode-survival-ui-playerstate-ui-playerstate-c-onupdatedcrystalsanim-property,crystals-economy,/Game/UI/Mode/Survival/UI_PlayerState.UI_PlayerState_C:OnUpdatedCrystalsAnim,UI_PlayerState_C.OnUpdatedCrystalsAnim,property,object dump,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,untested,not observed naturally,object-dump property type: ObjectProperty,PlayerState-scoped replicated candidate; exact authority unproven,local and/or peer-visible; requires two-computer evidence,untested,candidate relationship identified; qualifying persistence/UI evidence incomplete,raw write forbidden; seek official function/event alternative,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-crystals-economy; resource-crystal-gain; ownership-playerstate-gamestate; world-ui-follow-up,coverage-crystals-economy; resource-crystal-gain; ownership-playerstate-gamestate; world-ui-follow-up,crystals; multiplayer-ownership-and-visibility
script-crabchampions-crabautosave-crystals-struct-field,script-crabchampions-crabautosave-crystals-struct-field,crystals-economy,/Script/CrabChampions.CrabAutoSave:Crystals,CrabAutoSave.Crystals,struct field,object dump,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,untested,not observed naturally,object-dump property type: UInt32Property,unknown; requires host and joined-client natural observation,unknown,untested,candidate relationship identified; qualifying persistence/UI evidence incomplete,raw write forbidden; seek official function/event alternative,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-crystals-economy; resource-crystal-gain; world-save-restore,coverage-crystals-economy; resource-crystal-gain; world-save-restore,crystals; lifecycle
script-crabchampions-crabautosave-numshoppurchases-struct-field,script-crabchampions-crabautosave-numshoppurchases-struct-field,crystals-economy,/Script/CrabChampions.CrabAutoSave:NumShopPurchases,CrabAutoSave.NumShopPurchases,struct field,object dump,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,untested,not observed naturally,object-dump property type: IntProperty,unknown; requires host and joined-client natural observation,unknown,untested,candidate relationship identified; qualifying persistence/UI evidence incomplete,raw write forbidden; seek official function/event alternative,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-crystals-economy; resource-crystal-gain; world-shop; world-save-restore,coverage-crystals-economy; resource-crystal-gain; world-shop; world-save-restore,crystals; lifecycle
script-crabchampions-crabautosave-numshoprerolls-struct-field,script-crabchampions-crabautosave-numshoprerolls-struct-field,crystals-economy,/Script/CrabChampions.CrabAutoSave:NumShopRerolls,CrabAutoSave.NumShopRerolls,struct field,object dump,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,Crystals and economy; object or state candidate materially connected to complete CrabSync evidence coverage.,untested,not observed naturally,object-dump property type: IntProperty,unknown; requires host and joined-client natural observation,unknown,untested,candidate relationship identified; qualifying persistence/UI evidence incomplete,raw write forbidden; seek official function/event alternative,untested-read-only-candidate,needs_coverage,needs-coverage,"Capture a clean, scoped read in stable host and joined-client contexts, then repeat across lifecycle transitions.",coverage-crystals-economy; transaction-reroll; resource-crystal-gain; world-shop; world-save-restore,coverage-crystals-economy; transaction-reroll; resource-crystal-gain; world-shop; world-save-restore,crystals; inventory; lifecycle
